"","ISO3","AGE GROUPS","TBI.prev.2001","TBI.prev.2006","TBI.prev.2011","TBI.prev.2016"
"260","DMA","65+",0.999628176590176,0.999997356211824,0.983660694602111,0.924582375801135
"261","DNK","0-14",0.0024425373244937,0.0023236812731015,0.00198677028964605,0.00173786355416889
"262","DNK","15-24",0.00629071828054556,0.0053721777817392,0.00479459807908396,0.00470161987835271
"263","DNK","25-54",0.0270373448272762,0.0219831058614296,0.0167671953336978,0.0140955002063889
"264","DNK","55-64",0.0516025729311823,0.0431657648100125,0.0352741286329568,0.0289606408382245
"265","DNK","65+",0.0934509312179559,0.0814569301049815,0.0653651942747075,0.053449716088388
"266","DOM","0-14",0.0235548408081919,0.0179278373668607,0.0156292763233774,0.0126154757923611
"267","DOM","15-24",0.0930646896035977,0.0638221505487538,0.0493550933075038,0.0410323343754572
"268","DOM","25-54",0.454836114992361,0.363949795370171,0.283923492821464,0.223741719975059
"269","DOM","55-64",0.874085678639769,0.790935677576076,0.663528012850893,0.553009429264518
"270","DOM","65+",0.984848150534089,0.96594574780052,0.916487779570756,0.844386072771652
"271","DZA","0-14",0.0154588071281158,0.0154061436692283,0.015524397167649,0.0133862352776411
"272","DZA","15-24",0.0564046474573273,0.0389147190298627,0.0348447471044577,0.0297296009103956
"273","DZA","25-54",0.278977851578376,0.223920903480026,0.177537181640208,0.139551905276717
"274","DZA","55-64",0.57250416334987,0.49668649751429,0.417487951024522,0.34189637140992
"275","DZA","65+",0.802435749319447,0.747091494745884,0.610518046972186,0.553504168362307
"276","ECU","0-14",0.0216073961038249,0.0185311060219872,0.0142818153868044,0.00977363149919035
"277","ECU","15-24",0.0756631290390828,0.0555981254900356,0.045936037779324,0.0329486802798988
"278","ECU","25-54",0.302142980336599,0.250112519357995,0.202656197753822,0.151565491865841
"279","ECU","55-64",0.63847866845921,0.538860452578293,0.448906876157838,0.342253816376253
"280","ECU","65+",0.873626465073439,0.819422521607242,0.71354251683596,0.547209212723595
"281","EGY","0-14",0.00799607107863881,0.00580303984814737,0.00452628490593359,0.00398225672185712
"282","EGY","15-24",0.0259927116415561,0.0190537466748023,0.0152369241777163,0.0118558947661984
"283","EGY","25-54",0.145587731913133,0.114369131823783,0.0879925300591568,0.0697216690443073
"284","EGY","55-64",0.382669796677246,0.29787395688098,0.216045308393004,0.17718053863819
"285","EGY","65+",0.647401294888562,0.577017585089006,0.442737205522611,0.363592777857423
"286","ERI","0-14",0.0288139462331995,0.0278328853694259,0.0229073486562917,0.0176865559616291
"287","ERI","15-24",0.0900249631725204,0.0801517386151732,0.065284022614131,0.0682801121404625
"288","ERI","25-54",0.382010645544815,0.315235200625481,0.262985638978214,0.234361591331355
"289","ERI","55-64",0.70531295386566,0.63760837759188,0.56545610150418,0.470639049357984
"290","ERI","65+",0.883181665559833,0.84716894867897,0.748677103696565,0.717984625438101
"291","ESP","0-14",0.00423721920113569,0.00383346445571735,0.00338384567261252,0.00295551696343585
"292","ESP","15-24",0.0120374503993311,0.00913660732728591,0.00821065288032873,0.00839642869450732
"293","ESP","25-54",0.0528630945777157,0.0443378311176684,0.0356756935587545,0.0303795566676
"294","ESP","55-64",0.116920027194652,0.0952076636053816,0.0727655733920151,0.0617915706411987
"295","ESP","65+",0.20654140628328,0.17970324351683,0.142495382633919,0.116401041979523
"296","EST","0-14",0.00835665446436519,0.00861246184885466,0.00711145037623059,0.00532797530176233
"297","EST","15-24",0.024685735213455,0.0176262029844521,0.0141519514846762,0.0124067531416939
"298","EST","25-54",0.0970365206477172,0.0795854345923225,0.0654498293914533,0.0522301311309756
"299","EST","55-64",0.145372594296529,0.104865313858516,0.152004741799016,0.120090527609866
"300","EST","65+",0.306656110270972,0.261673017662529,0.1954326005344,0.165787918189798
"301","ETH","0-14",0.0455379695951349,0.0489631988802646,0.0377877452959754,0.0263990712008527
"302","ETH","15-24",0.166159201639283,0.143865319796545,0.117213031766882,0.0972469906148794
"303","ETH","25-54",0.559652578197379,0.477555097927805,0.3962762758197,0.334696589239793
"304","ETH","55-64",0.8989912612672,0.840707167871959,0.764509789243162,0.669226318596666
"305","ETH","65+",0.979914349410203,0.966026558355315,0.924565013894349,0.874064038103648
"306","FIN","0-14",0.00292599649176687,0.00236838970220367,0.00187495608757635,0.00157573668420167
"307","FIN","15-24",0.00981196814371384,0.00728393313341624,0.00545664837535315,0.00467676574907371
"308","FIN","25-54",0.0580049374687211,0.0432549155966445,0.0312817910217165,0.0227375832229833
"309","FIN","55-64",0.175232906263059,0.115992260125856,0.0805133043098246,0.0618091044909215
"310","FIN","65+",0.356220844952992,0.306456873876681,0.221848249197157,0.175515778094991
"311","FJI","0-14",0.0148145774544855,0.0133635849733801,0.00988650466993285,0.0099877070881924
"312","FJI","15-24",0.0521513226069841,0.0390119543000069,0.0320885582532755,0.02814608809309
"313","FJI","25-54",0.172824447573571,0.144168912256164,0.117250280289652,0.0926017881379922
"314","FJI","55-64",0.381321066958412,0.315553282710635,0.252752974262184,0.188990060459964
"315","FJI","65+",0.584419669836668,0.529524007635961,0.449606629417355,0.350927613088548
"316","FRA","0-14",0.00381383545652496,0.00295659853774168,0.0024877838932837,0.00222553099343932
"317","FRA","15-24",0.0127473867637176,0.00978893683084574,0.00750150699697384,0.00616254098961727
"318","FRA","25-54",0.0586872137634514,0.0462762608811098,0.0365977050168833,0.0296656373771347
"319","FRA","55-64",0.155015932695622,0.119666687483819,0.0856348467306399,0.0655876736390965
"320","FRA","65+",0.297885007826146,0.2532999760569,0.188599070460879,0.152255064851637
"321","FSM","0-14",0.0791081658150984,0.0727578094532382,NA,NA
"322","FSM","15-24",NA,0.0910635365120606,NA,NA
"323","FSM","25-54",NA,0.524163448915416,NA,NA
"324","FSM","55-64",NA,NA,NA,NA
"325","FSM","65+",0.945861843737771,NA,NA,NA
"326","GAB","0-14",0.0472959689146859,0.0676985275266169,0.0789208799443395,0.0642209751933247
"327","GAB","15-24",0.11184649652889,0.135779523490719,0.161415312737565,0.16003910831177
"328","GAB","25-54",0.351607314330462,0.33980391398747,0.364873355718486,0.337613891419285
"329","GAB","55-64",0.370857356027711,0.545982217869074,NA,0.405445513477825
"330","GAB","65+",NA,NA,NA,0.436353933500435
"331","GBR","0-14",0.00263038603462152,0.00248544766159487,0.00255234193574281,0.00251352026433155
"332","GBR","15-24",0.00626298845202361,0.00585050511784121,0.00580764648230093,0.0056457268854759
"333","GBR","25-54",0.0192112670524062,0.0172812059445456,0.015315834652787,0.0137251467148003
"334","GBR","55-64",0.0330494680431799,0.0295586617198647,0.0264664823151815,0.0229939772335573
"335","GBR","65+",0.0500758611846347,0.0457311756936774,0.0418074081815746,0.0367682060832804
"336","GEO","0-14",0.0680790259135502,0.0442473315849925,0.030305963712803,0.0198603534361494
"337","GEO","15-24",0.30121311758359,0.186521567487051,0.132695664953064,0.0860513715929985
"338","GEO","25-54",0.8258713258571,0.735133601007025,0.634794019591123,0.509814251421065
"339","GEO","55-64",0.999554622785765,0.996293990683097,0.987456952890672,0.949306325472314
"340","GEO","65+",0.999999916039389,0.993066601625371,0.999875960784579,0.987706825291912
"341","GHA","0-14",0.0519618773798662,0.050849860450833,0.044409069408601,0.0360591909434451
"342","GHA","15-24",0.172708031423323,0.128876157637051,0.104723767530103,0.100542941220646
"343","GHA","25-54",0.498486550496778,0.427393026882497,0.356965782159096,0.307832252695177
"344","GHA","55-64",0.791114978047421,0.726942704221332,0.650813797015905,0.585784552599666
"345","GHA","65+",0.929435134474051,0.889165953164067,0.817991045676155,0.721813802865798
"346","GIN","0-14",0.0407981047639772,0.0358938439723301,0.0282241616335495,0.0220879454681419
"347","GIN","15-24",0.169494454865659,0.132887793643242,0.10043861532861,0.0714667091611902
"348","GIN","25-54",0.478060053142847,0.434595123587859,0.364233283148772,0.3051885624927
"349","GIN","55-64",0.695775385951229,0.621571805826682,0.61736175084,0.589723540522908
"350","GIN","65+",NA,0.845603803024356,0.788025182838359,0.691048121753367
"351","GMB","0-14",0.0195627515999012,0.0162120131857529,0.0179720621280623,0.0165831886344427
"352","GMB","15-24",NA,0.0283091141512424,0.0546353798842818,0.0443747440778726
"353","GMB","25-54",0.290433397559741,0.241557603263105,0.202132290906916,0.170893632477267
"354","GMB","55-64",NA,NA,NA,0.317924503030807
"355","GMB","65+",NA,NA,NA,0.366004038317243
"356","GNB","0-14",NA,NA,NA,NA
"357","GNB","15-24",NA,NA,NA,0.100313390467197
"358","GNB","25-54",0.195626245778604,0.364089808207934,0.383310631973423,0.308123991909934
"359","GNB","55-64",0.417613206186973,NA,NA,0.344811851411859
"360","GNB","65+",NA,NA,NA,0.661250899822144
"361","GNQ","0-14",NA,0.0167195354115623,NA,NA
"362","GNQ","15-24",NA,0.0117999626751154,NA,0.0278384568098275
"363","GNQ","25-54",0.097051160032079,0.108367542760532,0.113110269801726,0.0857890471953275
"364","GNQ","55-64",NA,NA,NA,NA
"365","GNQ","65+",NA,NA,NA,NA
"366","GRC","0-14",0.00247665081189069,0.00206433392211663,0.00166503961442194,0.00150872430793523
"367","GRC","15-24",0.00658376683701845,0.00534863586022707,0.0045233502605602,0.00412793977847351
"368","GRC","25-54",0.0306960641732921,0.0252893160484458,0.0196079652032851,0.0154181900032251
"369","GRC","55-64",0.0700355003949639,0.0560298542845015,0.0428306893562072,0.033904040551233
"370","GRC","65+",0.122585421476271,0.108382612332833,0.0884522467316486,0.0723513210342067
"371","GRD","0-14",0.00121641438313248,0.00104741471830533,0.000903317666335424,0.00111361934071328
"372","GRD","15-24",0.00237024442478715,0.00232994491263275,0.00245073480770653,0.00219769918379775
"373","GRD","25-54",0.0063483104720368,0.00586064637819428,0.00598340727583484,0.00555496571287907
"374","GRD","55-64",0.0131742575137694,0.0126571230565205,0.0135263166968811,0.010016899813222
"375","GRD","65+",0.0136570338678387,0.0148555807447963,0.0184692997886083,0.0205046683840038
"376","GRL","0-14",NA,NA,NA,NA
"377","GRL","15-24",NA,NA,NA,NA
"378","GRL","25-54",0.209917406478327,0.191929370481268,NA,0.160667844573852
"379","GRL","55-64",0.236906453916576,NA,NA,0.175281690031756
"380","GRL","65+",0.31261704138548,NA,NA,0.204525290534054
"381","GTM","0-14",0.0147540692175628,0.0106929081752119,0.0117910487465284,0.0126597880286411
"382","GTM","15-24",0.0409391675435871,0.028534253539979,0.0269994526544524,0.0254967672366995
"383","GTM","25-54",0.167969300698263,0.137662559777761,0.113616644396779,0.0947467891413785
"384","GTM","55-64",0.296611070988507,0.257688687560987,0.23572916718141,0.202017491986242
"385","GTM","65+",0.409857513725453,0.389034610097962,0.342820463129472,0.302306822677858
"386","GUM","0-14",0.00868285868210229,NA,NA,NA
"387","GUM","15-24",0.0225335909792017,NA,NA,NA
"388","GUM","25-54",0.0617107133046682,0.0549007032036461,NA,0.0544858674583125
"389","GUM","55-64",NA,NA,NA,NA
"390","GUM","65+",NA,NA,NA,0.115797800440419
"391","GUY","0-14",0.019778252411871,0.0179927925266093,0.0165463617390465,0.0128064401256093
"392","GUY","15-24",0.0575448516229532,0.048249106163846,0.0414249620810564,0.0345660091081656
"393","GUY","25-54",0.172931937551089,0.148809294668083,0.12839856365933,0.104864010500505
"394","GUY","55-64",0.320619704186463,0.280419584483612,0.228278657493033,0.194985895374576
"395","GUY","65+",0.452644266716077,0.416172774187443,0.358628284951577,0.299610329427358
"396","HKG","0-14",0.0162833009784063,0.0119072283452337,0.0128628249946318,0.0120027038215667
"397","HKG","15-24",0.0523490411641243,0.0339099457009792,0.0244036356142421,0.0206728757209531
"398","HKG","25-54",0.206296234194599,0.166935936530481,0.131322815731072,0.102355038123048
"399","HKG","55-64",0.380742552222555,0.335822176766626,0.286638321027389,0.237633641935515
"400","HKG","65+",0.561999109386467,0.506143381594933,0.430984604010079,0.362594463740161
"401","HND","0-14",0.0175443046353534,0.0141469215165609,0.0127670768198609,0.0087113610563614
"402","HND","15-24",0.070681859770763,0.0417192776285382,0.0363455980363838,0.0358960986152264
"403","HND","25-54",0.395661827038837,0.306812892260253,0.234810904755105,0.175787231025257
"404","HND","55-64",0.831816123227352,0.71820359886172,0.594562015633426,0.480168809554941
"405","HND","65+",0.981173046251906,0.956299927436711,0.875974770893136,0.80141271920362
"406","HRV","0-14",0.00938119114434193,0.00603435548278988,0.00463646917272021,0.00405587063860902
"407","HRV","15-24",0.0378405324503751,0.0233880609407983,0.0129331008742889,0.00997422279299692
"408","HRV","25-54",0.219959649890428,0.167409812970703,0.119388170262175,0.0835928862294851
"409","HRV","55-64",0.579382928551166,0.454527107146106,0.308014088034041,0.2438270550917
"410","HRV","65+",0.855708387946065,0.790173788202653,0.613040052281553,0.518398231030464
"411","HTI","0-14",0.0372188987575964,0.0382127807662898,0.0385814147657931,0.0317373860382337
"412","HTI","15-24",0.102301374355564,0.090239777785671,0.0932155441405275,0.0902628279841544
"413","HTI","25-54",0.31589231310595,0.290143095654133,0.270235132063761,0.240626381568181
"414","HTI","55-64",0.564800706720654,0.496384452080354,0.426058507154481,0.385982557638351
"415","HTI","65+",0.764492936513934,0.718712463274963,0.639835077480896,0.512021614040565
"416","HUN","0-14",0.00784014529996425,0.00601954268906725,0.00469334146008804,0.00322593174723949
"417","HUN","15-24",0.023592511040876,0.0175405229099214,0.0147551098487829,0.0126072340028979
"418","HUN","25-54",0.152287775753351,0.116112351368557,0.0910490565063582,0.0669604563455126
"419","HUN","55-64",0.396375257130775,0.301590930953406,0.192351010889901,0.173272257767764
"420","HUN","65+",0.76585670588999,0.664241646720423,0.484899992393136,0.399078791076099
"421","IDN","0-14",0.098833658420116,0.0888356112763516,0.079762165520101,0.0670703553432764
"422","IDN","15-24",0.186271218315424,0.226868141764586,0.209385288274833,0.16496440568953
"423","IDN","25-54",0.490109804548053,0.507977546887885,0.492207652379072,0.464376748414497
"424","IDN","55-64",0.712777200827868,0.639000078240972,0.546252013298458,0.552545276007854
"425","IDN","65+",0.817392166774334,0.786750626521505,0.667348075264342,0.636056297918744
"426","IND","0-14",0.0530966151326161,0.0526591239261885,0.0434863631495994,0.0324590466755565
"427","IND","15-24",0.145752540182993,0.142476965148055,0.123423311291997,0.101340574716738
"428","IND","25-54",0.292349172643877,0.286720776908218,0.271971878831133,0.261996995002002
"429","IND","55-64",0.494317891080188,0.453495774770551,0.414528434443089,0.364297905640794
"430","IND","65+",0.653016512467824,0.620428791018654,0.553910149810715,0.499739654205735
"431","IRL","0-14",0.00338275776760759,0.00263097401048305,0.00230907890408397,0.00202881024994584
"432","IRL","15-24",0.0101395818821709,0.00708009842523215,0.00589249271032939,0.00581828148104152
"433","IRL","25-54",0.0520006754093697,0.0407187848704036,0.0314679603992617,0.0262473484521183
"434","IRL","55-64",0.13894405794621,0.104881076120454,0.0737550275814515,0.059748174195725
"435","IRL","65+",0.274235706430119,0.230855808722944,0.1774645184187,0.139774410895808
"436","IRN","0-14",0.00688161538997348,0.00539276761190676,0.00437974115495068,0.00418712007229477
"437","IRN","15-24",0.0204996265976633,0.0165169919572208,0.0135394025485284,0.011428712516207
"438","IRN","25-54",0.0733208542125783,0.0614844977251754,0.0516867806974647,0.0445852115793644
"439","IRN","55-64",0.144684232619375,0.127888262578023,0.113611187225408,0.092990337828891
"440","IRN","65+",0.219951426452449,0.199467259951907,0.175087689148316,0.154508745608795
"441","IRQ","0-14",0.00763416015253746,0.0069838792145782,0.00746204590667932,0.00806611867170573
"442","IRQ","15-24",0.0225526742732934,0.0190840001237953,0.0186342728321853,0.0193815138649379
"443","IRQ","25-54",0.0561115709190227,0.0523483447695311,0.0496662981548719,0.0474237712463197
"444","IRQ","55-64",0.0849558443553333,0.0794698384028302,0.0817380235017268,0.0771623032920382
"445","IRQ","65+",0.11008062511139,0.1059446407023,0.102463474485617,0.100090206739935
"446","ISL","0-14",0.00145975839043822,0.00198681080617643,0.00117973450547421,0.00116424664591274
"447","ISL","15-24",0.00488237635101765,0.0041966212158565,0.00390671935051254,0.00294525217366899
"448","ISL","25-54",0.0245495738202377,0.0195992242748143,0.0144590198601229,0.0115320048123129
"449","ISL","55-64",0.0520541805932445,0.044167377401597,0.0363527742839982,0.0275972886567924
"450","ISL","65+",0.100901803317424,0.0909419220254572,0.0717146148660362,0.059921186725138
"451","ISR","0-14",0.00212642030516273,0.00194304377297933,0.00168622615307221,0.00151367939366741
"452","ISR","15-24",0.00600527949770044,0.00503712932379928,0.00452017642675046,0.00411437182328459
"453","ISR","25-54",0.0228947203151132,0.0191541554779773,0.0157988520012396,0.0133363538501404
"454","ISR","55-64",0.0501318943798872,0.0415956628206199,0.0350159455302992,0.0289490628710834
"455","ISR","65+",0.082631880665888,0.0711703990443406,0.0622323891001084,0.054021184780108
"456","ITA","0-14",0.00244581815378403,0.00213772597399962,0.00185578545056084,0.00170776543482824
"457","ITA","15-24",0.00626312642720213,0.00518412752614801,0.00461358573517953,0.00449486121828536
"458","ITA","25-54",0.025301136713624,0.0216685586011406,0.0171729237083814,0.0139499715529324
"459","ITA","55-64",0.0458284751284668,0.0394008150389756,0.0321456118721577,0.0270450990273212
"460","ITA","65+",0.0759623939320665,0.0679267865441834,0.0577009086146079,0.0481083688387846
"461","JAM","0-14",0.00187551348012497,0.00159443051527266,0.00143762406615326,0.00138896473180592
"462","JAM","15-24",0.00507871598665538,0.00434759894417959,0.00380110044596163,0.00350982456063679
"463","JAM","25-54",0.0158708421083252,0.0137880631944208,0.0122814809621923,0.010627410089593
"464","JAM","55-64",0.0338022756442954,0.0294835074646241,0.0257852792008241,0.0209838622527266
"465","JAM","65+",0.0470418891022797,0.0443540262294097,0.0427019285964969,0.040152534423902
"466","JOR","0-14",0.00255273691864028,0.00202450942531492,0.00173883062120861,0.00155025364553291
"467","JOR","15-24",0.00796435601691696,0.0064827697166772,0.00528370999028685,0.00433051940142294
"468","JOR","25-54",0.0325323043829172,0.0259744922191831,0.0209172896465355,0.0169309893172232
"469","JOR","55-64",0.088915616332019,0.0689477425995053,0.0536316089903074,0.0414873446185429
"470","JOR","65+",0.150376706350925,0.133323640634723,0.1173397243655,0.0944850114925592
"471","JPN","0-14",0.00779213143960379,0.00605894910141388,0.00444928555871629,0.00356400685551636
"472","JPN","15-24",0.0252085108330308,0.0200745844661033,0.0139678235576051,0.0104901579934689
"473","JPN","25-54",0.126967882695827,0.106061770397294,0.084288735764064,0.065446278266731
"474","JPN","55-64",0.28218131043838,0.226360101926592,0.178719154809691,0.150070382048562
"475","JPN","65+",0.483567847747872,0.433079251598032,0.346021604513942,0.271972065838254
"476","KAZ","0-14",0.01660670859433,0.0201277069375357,0.0226909865566005,0.0178490977255656
"477","KAZ","15-24",0.0477649085680933,0.047254984242053,0.0447859532976314,0.0441951504094213
"478","KAZ","25-54",0.0984086441086475,0.101034207616433,0.100695339301712,0.0967749315693358
"479","KAZ","55-64",0.105724219770921,0.127206242944187,0.137331670842185,0.129900435048779
"480","KAZ","65+",0.104959867729176,0.173187453519156,0.141692156836159,0.157809108403188
"481","KEN","0-14",0.0181666998072614,0.0239308694377402,0.0291351673723044,0.029048744106486
"482","KEN","15-24",0.043696005105675,0.0457572309317743,0.0508370192361581,0.0567169563698548
"483","KEN","25-54",0.0911686871834123,0.0938992424345416,0.0964093446477132,0.097888639440165
"484","KEN","55-64",0.129993855079944,0.125489491977211,0.115506666246641,0.111592775372475
"485","KEN","65+",0.16402966815322,0.157614478612172,0.147403165365616,0.127689957028409
"486","KGZ","0-14",0.0426223660488633,0.0477040620400602,0.038317114338288,0.0249805722269769
"487","KGZ","15-24",0.114824072890158,0.122003709574273,0.100225517595996,0.0826141451598242
"488","KGZ","25-54",0.282167799423444,0.273235270672027,0.247567147033699,0.221273635330229
"489","KGZ","55-64",0.202524324133008,0.331879675112407,0.398561378296182,0.356192345594616
"490","KGZ","65+",0.329083432682546,0.529970472805049,NA,0.415620649106509
"491","KHM","0-14",0.155091873414743,0.149913004000533,0.11281740559792,0.0835962657472094
"492","KHM","15-24",0.331093492917946,0.339061993909654,0.326317572684643,0.263877832706698
"493","KHM","25-54",0.87904202257457,0.792805199174753,0.7099965111539,0.617974240718431
"494","KHM","55-64",0.999902896125451,0.99709432591802,0.992203735891401,0.938630844683765
"495","KHM","65+",0.999999683894215,0.997246030855716,0.998616499631503,0.980327545589613
"496","KIR","0-14",NA,NA,NA,NA
"497","KIR","15-24",NA,NA,NA,NA
"498","KIR","25-54",0.255466509995209,NA,NA,0.279057612103209
"499","KIR","55-64",0.125309372485105,NA,NA,0.151948755678799
"500","KIR","65+",NA,NA,NA,NA
"501","KNA","0-14",0.002169856841551,0.00233307285541499,NA,0.00142003357574154
"502","KNA","15-24",0.00421458406755742,0.00403110834279863,NA,0.00383715544234557
"503","KNA","25-54",0.0108634600242684,0.0107857801653222,0.00978054394896021,0.0093458467305144
"504","KNA","55-64",0.0184541281488231,0.016523497058651,0.0176901970436333,0.0158927792433479
"505","KNA","65+",0.0220875530067975,0.0211673653083827,0.0249063810967402,0.0256066048060225
"506","KOR","0-14",0.0209558144972216,0.0152763022761567,0.0143565608696351,0.0130392507691481
"507","KOR","15-24",0.127801548011787,0.0728848504259547,0.0433165605721969,0.0316968877340881
"508","KOR","25-54",0.534631813130047,0.442755395803099,0.345830126759678,0.258769289090278
"509","KOR","55-64",0.942406897956138,0.878397552800117,0.780498581874581,0.658241203047706
"510","KOR","65+",0.99796708791223,0.990673120774391,0.949987559537475,0.872519937252587
"511","KWT","0-14",0.00465810912335639,0.0051411714482152,0.00522120079087041,0.00463928280577603
"512","KWT","15-24",0.0160905557382424,0.0114273782621965,0.0105497697446718,0.0104441539592475
"513","KWT","25-54",0.074347023325671,0.0607880059872826,0.0488527085900219,0.0393807415408747
